iter	Passed	Remaining
0	0	69
1	1	63
2	1	59
3	2	57
4	3	57
5	3	56
6	4	55
7	4	54
8	5	54
9	5	52
10	6	51
11	6	51
12	7	51
13	8	50
14	9	51
15	9	50
16	10	49
17	10	48
18	11	47
19	11	46
20	12	47
21	13	46
22	13	46
23	14	45
24	15	45
25	15	44
26	16	43
27	16	43
28	17	42
29	18	42
30	18	41
31	19	41
32	19	40
33	20	39
34	21	39
35	21	38
36	22	37
37	22	36
38	23	36
39	23	35
40	24	35
41	24	34
42	25	33
43	25	32
44	26	32
45	26	31
46	27	30
47	28	30
48	28	29
49	29	29
50	30	29
51	31	28
52	32	28
53	32	27
54	33	27
55	33	26
56	34	26
57	35	25
58	35	24
59	36	24
60	37	23
61	37	23
62	38	22
63	39	22
64	40	21
65	41	21
66	42	21
67	43	20
68	44	19
69	44	19
70	45	18
71	46	18
72	47	17
73	47	16
74	48	16
75	49	15
76	49	14
77	50	14
78	51	13
79	51	12
80	52	12
81	53	11
82	54	11
83	54	10
84	55	9
85	56	9
86	57	8
87	58	7
88	59	7
89	59	6
90	60	5
91	61	5
92	62	4
93	63	4
94	63	3
95	64	2
96	65	2
97	65	1
98	66	0
99	67	0
